Soma Surface,Number of Stems,Number of Bifurcations,Number of Branches,Overall Width,Overall Height,Overall Depth,Average Diameter,Total Length,Total Surface,Total Volume,Max Euclidean Distance,Max Path Distance,Max Branch Order,Average Contraction,Total Fragmentation,Partition Asymmetry,Average Rall's Ratio,Average Bifurcation Angle Local,Average Bifurcation Angle Remote,Fractal Dimension,Category,w
250317.8481,1,10,21,70.54,331.39,0,0.25,629.95,494.762,30.923,225.74,298.31,10,0.92,1317,0.9,2,74.71,90.64,1.03,131,
250317.8481,2,4,10,89.42,380.4,0,0.25,635.32,498.982,31.193,277.31,329.79,3,0.9,443,0.4,2,60.55,82.23,1.02,131,
12224.82,9,27,63,474.79,993.54,0.27,1,4790.94,15051.22,3762.83,573.54,610.71,12,0.94,852,0.74,2,85.51,64.81,1.01,125,
250317.8481,1,9,19,51.66,248.06,0,0.25,474.28,372.492,23.283,208.91,256.2,7,0.96,1053,0.56,2,85.64,80.74,1.03,131,
250317.8481,1,15,31,148.71,234.41,0,0.25,700.79,550.42,34.43,190.5,218.28,9,0.95,1493,0.55,2,94.07,93.23,1.02,131,
250317.8481,2,4,10,131.46,290.24,0,0.25,526.86,413.82,25.863,204.92,256.04,4,0.91,691,0.5,2,119.2,107.88,1.03,131,
250317.8481,1,5,11,250.42,427.48,0,0.25,997.81,783.682,48.983,295.5,413.63,4,0.94,1976,0.4,2,92.17,103.83,1.02,131,
250317.8481,2,6,14,88.63,440.34,0,0.25,853.25,670.142,41.883,416.51,459.27,5,0.91,1826,0.45,2,102.84,91.75,1.03,131,
250317.8481,2,32,66,228.89,251.71,0,0.25,1521.02,1194.62,74.663,210.33,494.63,17,0.93,1042,0.67,2,70.49,90.9,1.03,131,
65.522,1,52,105,681.51,992.4,0,1,14385.6,45193.62,11298.43,617.84,2390.9,19,0.93,2689,0.59,2,82.33,76.56,1.01,125,
250317.8481,1,4,9,103.88,424.62,0,0.25,592.84,465.622,29.13,271.77,296.66,4,0.94,374,0.75,2,117.88,138.57,1.02,131,
250317.8481,1,3,7,30.3,352.96,0,0.25,466.16,366.122,22.883,220.95,244.33,3,0.9,602,0.67,2,9.09,108.53,1.03,131,
250317.8481,2,5,12,189.9,271.72,0,0.25,735.4,577.582,36.13,279.6,309.8,5,0.91,935,0.6,2,54.32,74.31,1.03,131,
250317.8481,1,3,7,35.01,218.31,0,0.25,329.51,258.792,16.173,234.77,266.07,3,0.93,425,0.67,2,40.95,75.37,1.02,131,
250317.8481,1,5,11,20.54,125.38,0,0.25,224.88,176.622,11.043,81.54,91.69,4,0.96,458,0.5,2,90.85,97.39,1.02,131,
250317.8481,2,16,34,81.61,362.98,0,0.25,1324.95,1040.612,65.043,319.16,786.37,8,0.93,2490,0.64,2,96.59,103.36,1.03,131,
250317.8481,2,9,20,64.46,221.88,0,0.25,495.99,389.552,24.353,149.09,168.25,6,0.92,668,0.59,2,65.41,83.57,1.03,131,
250317.8481,2,13,28,86.52,252.56,0,0.25,594.07,466.582,29.163,271.59,303.85,10,0.94,787,0.71,2,52.85,98.81,1.03,131,
250317.8481,2,11,24,63.92,426.34,0,0.25,625.16,4912,30.693,257.25,280.97,9,0.91,834,0.7,2,83.41,72.9,1.05,131,
369.322,4,15,34,262.98,734.9,120.81,0.83,4217.55,11047.92,2421.493,550.99,651.65,10,0.83,3457,0.87,1.86,87.36,76.37,1.04,146,
250317.8481,1,4,9,214.66,502.92,0,0.25,1068.72,839.372,52.463,356.98,501.42,3,0.88,723,0.25,2,78.58,96.27,1.03,131,
250317.8481,2,3,8,24.11,246.99,0,0.25,323.66,254.22,15.893,145.06,163.21,3,0.92,442,0.33,2,53.92,70.01,1.02,131,
250317.8481,2,2,6,32.32,294.4,0,0.25,420.5,330.262,20.643,271.88,294.64,2,0.92,579,0,2,55.11,107.99,1.02,131,
250317.8481,2,2,6,51.48,144,0,0.25,230.13,180.742,11.33,113.82,138.96,3,0.9,300,0.67,2,66.78,93.86,1.04,131,
1496.442,4,6,16,105.52,892.58,0.1,1,1619.1,5086.572,1271.643,552.39,626.36,3,0.9,290,0.5,2,66.35,68.98,1.02,125,
250317.8481,2,3,8,178.3,460.28,0,0.25,832.36,653.732,40.863,307.53,327.79,3,0.94,546,0.33,2,112.66,121.56,1.02,131,
250317.8481,1,34,69,57.68,302.48,0,0.25,660.31,518.612,32.413,214.72,251.05,19,0.94,1353,0.64,2,95.87,93.34,1.04,131,
1036.672,6,68,142,579.99,893.99,118.82,0.49,16264.2,25321.82,4875.313,891.44,1232.54,11,0.89,13734,0.51,1.89,79.51,85.94,1.03,146,
250317.8481,1,93,187,823.06,639.27,0,0.25,7894.55,6200.362,387.523,826.36,1370.85,35,0.95,16992,0.67,2,91.37,88.24,1.02,131,
250317.8481,1,4,9,66,115.18,0,0.25,261.33,205.252,12.833,93.58,176.79,4,0.92,176,0.75,2,42.74,107.55,1.02,131,
250317.8481,2,12,26,227.64,338.51,0,0.25,979.26,769.112,48.073,284.32,363.18,11,0.94,2071,0.82,2,86.21,94.05,1.03,131,
20759.82,4,11,26,356.84,1133.09,0,1,2831.45,8895.252,2223.813,710.62,753.59,4,0.96,468,0.58,2,52.04,64.7,1.01,125,
543.82,5,47,99,343.02,1320.9,82.6,0.45,8974.46,12623.12,1876.633,1020.39,1285.33,13,0.87,7641,0.65,1.79,95.65,91.11,1.03,146,
250317.8481,1,6,13,178.5,149.74,0,0.25,527.61,414.382,25.93,193.42,347.76,4,0.93,693,0.53,2,42.27,57.02,1.02,131,
250317.8481,1,9,19,283.52,742.91,0,0.25,1418.92,1114.422,69.653,584.74,716.53,6,0.91,2814,0.55,2,65.6,93.79,1.02,131,
250317.8481,2,14,30,129.95,385.19,0,0.25,840.03,659.762,41.233,264.9,331.34,13,0.93,589,0.76,2,21.03,87.43,1.02,131,
15312.22,3,65,133,731.1,794.45,4.73,1,9411.1,29565.82,7391.463,649.38,810.76,13,0.95,1773,0.6,2,72.92,78.13,1.01,125,
250317.8481,1,8,17,133.42,337.86,0,0.25,863.01,677.812,42.363,355.37,573.02,8,0.88,1144,0.88,2,39.81,75.13,1.04,131,
184.982,4,0,4,24.23,88.74,17.93,0.24,156.39,117.912,7.073,65.76,71.17,0,0.82,70,0,0,0,0,1.07,144,
250317.8481,1,2,5,76.71,290.8,0,0.25,403.47,316.882,19.813,181.59,202.8,2,0.94,847,0.5,2,102.32,73.91,1.02,131,
250317.8481,2,7,16,167.72,343.22,0,0.25,813.52,638.942,39.933,235.42,342.35,7,0.95,1657,0.67,2,105.62,101.55,1.02,131,
3445.972,7,39,85,609.56,1190.21,106.05,2.02,6523.8,43740.52,41384.23,1058.24,1248.96,15,0.95,512,0.54,1.44,67.78,56.65,1.01,143,
250317.8481,1,7,15,121.37,263.66,0,0.25,525.6,412.82,25.83,231.52,254.1,6,0.97,1057,0.66,2,76.94,71.62,1.01,131,
250317.8481,1,5,11,201.82,563.47,0,0.25,1061.6,833.782,52.113,428.77,506.64,5,0.9,1448,0.8,2,24.75,99.66,1.03,131,
939.682,6,52,110,339.69,945.3,176.96,0.56,11189.8,197542,4247.353,1073,1137.82,20,0.9,9110,0.66,1.64,83.4,73.47,1.03,146,
23163.12,2,13,28,758.27,845.16,0,1,4191.55,13168.12,3292.043,676.86,736.27,7,0.95,744,0.71,2,58.3,60.07,1.01,125,
250317.8481,1,4,9,135.99,299.1,0,0.25,808.35,634.882,39.683,312.09,344.33,4,0.95,1123,0.75,2,67.33,51.87,1.02,131,
250317.8481,1,9,19,209.35,300.91,0,0.25,674.71,529.922,33.123,300.18,335.02,5,0.96,1467,0.34,2,80.38,95.6,1.02,131,
2889.092,3,8,19,401.98,853.98,2.14,1,1860.4,5844.612,1461.153,611.58,655.76,4,0.95,333,0.62,2,57.16,58.2,1.01,125,
250317.8481,2,0,2,9.97,79.53,0,0.25,88.74,69.72,4.363,46.65,50.02,1,0.95,62,0,2,154.11,152.39,1.01,131,
250317.8481,2,3,8,132.15,229.46,0,0.25,565.42,444.082,27.763,188.36,238.9,3,0.85,749,0.25,2,137.72,136.03,1.03,131,
250317.8481,1,5,11,19.81,116.19,0,0.25,202.71,159.212,9.953,113.84,122.88,4,0.94,418,0.4,2,105.97,94.51,1.03,131,
250317.8481,2,7,16,44.6,328.35,0,0.25,477.76,375.232,23.453,253.36,270.02,8,0.96,1086,0.88,2,42.05,62.76,1.02,131,
250317.8481,1,34,69,129.69,220.83,0,0.25,1024.1,804.332,50.273,209.38,291.18,18,0.93,2161,0.66,2,79.8,83.77,1.03,131,
662.272,7,34,75,431,1111.59,91.7,0.53,9867.63,17239.12,3541.373,962.75,989.52,10,0.89,8350,0.46,1.86,66.79,50.95,1.03,146,
